Date,Revenue,Profit_Margin,Operating_Costs,Customer_Count,Market_Share,Employee_Count,R&D_Investment,Customer_Satisfaction,Product_Lines,Region,Sales_Channel
2022-01-01,10500000,0.18,6300000,51200,0.22,2050,180000,4.1,Product_A,EMEA,Direct
2022-02-01,10750000,0.19,6450000,52100,0.23,2080,185000,4.2,Product_B,Americas,Partner
2022-03-01,11200000,0.17,6600000,53200,0.24,2120,190000,4.3,Product_C,APAC,Online
2022-04-01,11500000,0.20,6750000,54100,0.25,2150,195000,4.2,Product_A,EMEA,Direct
2022-05-01,11800000,0.21,6900000,55300,0.26,2180,200000,4.4,Product_B,Americas,Partner
2022-06-01,12100000,0.18,7050000,56200,0.25,2210,205000,4.3,Product_C,APAC,Online
2022-07-01,12400000,0.22,7200000,57400,0.27,2240,210000,4.5,Product_A,EMEA,Direct
2022-08-01,12700000,0.19,7350000,58100,0.28,2270,215000,4.4,Product_B,Americas,Partner
2022-09-01,13000000,0.23,7500000,59300,0.29,2300,220000,4.6,Product_C,APAC,Online
2022-10-01,13300000,0.20,7650000,60200,0.28,2330,225000,4.5,Product_A,EMEA,Direct
2022-11-01,13600000,0.24,7800000,61400,0.30,2360,230000,4.7,Product_B,Americas,Partner
2022-12-01,13900000,0.21,7950000,62300,0.31,2390,235000,4.6,Product_C,APAC,Online
2023-01-01,14200000,0.25,8100000,63500,0.32,2420,240000,4.8,Product_A,EMEA,Direct
2023-02-01,14500000,0.22,8250000,64200,0.31,2450,245000,4.7,Product_B,Americas,Partner
2023-03-01,14800000,0.26,8400000,65400,0.33,2480,250000,4.9,Product_C,APAC,Online
2023-04-01,15100000,0.23,8550000,66100,0.34,2510,255000,4.8,Product_A,EMEA,Direct
2023-05-01,15400000,0.27,8700000,67300,0.35,2540,260000,5.0,Product_B,Americas,Partner
2023-06-01,15700000,0.24,8850000,68200,0.34,2570,265000,4.9,Product_C,APAC,Online
2023-07-01,16000000,0.28,9000000,69400,0.36,2600,270000,5.1,Product_A,EMEA,Direct
2023-08-01,16300000,0.25,9150000,70100,0.37,2630,275000,5.0,Product_B,Americas,Partner
2023-09-01,16600000,0.29,9300000,71300,0.38,2660,280000,5.2,Product_C,APAC,Online
2023-10-01,16900000,0.26,9450000,72200,0.37,2690,285000,5.1,Product_A,EMEA,Direct
2023-11-01,17200000,0.30,9600000,73400,0.39,2720,290000,5.3,Product_B,Americas,Partner
2023-12-01,17500000,0.27,9750000,74300,0.40,2750,295000,5.2,Product_C,APAC,Online
2024-01-01,17800000,0.31,9900000,75500,0.41,2780,300000,5.4,Product_A,EMEA,Direct
2024-02-01,18100000,0.28,10050000,76200,0.40,2810,305000,5.3,Product_B,Americas,Partner
2024-03-01,18400000,0.32,10200000,77400,0.42,2840,310000,5.5,Product_C,APAC,Online
2024-04-01,18700000,0.29,10350000,78100,0.43,2870,315000,5.4,Product_A,EMEA,Direct
2024-05-01,19000000,0.33,10500000,79300,0.44,2900,320000,5.6,Product_B,Americas,Partner
2024-06-01,19300000,0.30,10650000,80200,0.43,2930,325000,5.5,Product_C,APAC,Online
2024-07-01,19600000,0.34,10800000,81400,0.45,2960,330000,5.7,Product_A,EMEA,Direct
2024-08-01,19900000,0.31,10950000,82100,0.46,2990,335000,5.6,Product_B,Americas,Partner
2024-09-01,20200000,0.35,11100000,83300,0.47,3020,340000,5.8,Product_C,APAC,Online
2024-10-01,20500000,0.32,11250000,84200,0.46,3050,345000,5.7,Product_A,EMEA,Direct
2024-11-01,20800000,0.36,11400000,85400,0.48,3080,350000,5.9,Product_B,Americas,Partner
2024-12-01,21100000,0.33,11550000,86300,0.49,3110,355000,5.8,Product_C,APAC,Online
